order_id,platform, slug ,b_name ,vb_name,order_date,transaction_type,payout_id,payout_date,net_payout,lost_sale
O-899624818066746,,,Artisan Alchemy,,,Delivery,240105018qaHZBW,1 Jan  2024,20.81,0.00,
O-899624818066746,,,Artisan Alchemy,,,Error Charges / Inaccurate,240105018qaHZBW,1 Jan  2024,-22.80,0.00,
O-899624818066746,,,Artisan Alchemy,,,Adjustment,240119178qaHZBW,17 Jan  2024,22.80,0.00,
O-827524727128352,,,Blissful Buffet,,,Delivery,23122927XwqkMFF,27 Dec  2023,27.68,0.00,
O-827524727128352,,,Blissful Buffet,,,Error Charges / Inaccurate,23122927XwqkMFF,27 Dec  2023,-16.13,0.00,
O-679024899563543,,,Artisan Alchemy,,,Delivery,240112108qaHZBW,10 Jan  2024,23.73,0.00,
O-679024899563543,,,Artisan Alchemy,,,Error Charges / Inaccurate,240112108qaHZBW,10 Jan  2024,-15.03,0.00,
O-675724849748799,,,Blissful Buffet,,,Delivery,24010503XwqkMFF,3 Jan  2024,19.39,0.00,
O-675724849748799,,,Blissful Buffet,,,Error Charges / Inaccurate,24010503XwqkMFF,3 Jan  2024,-18.70,0.00,
O-675724849748799,,,Blissful Buffet,,,Adjustment, , ,17.28,0.00,
O-567024829409727,,,Artisan Alchemy,,,Delivery,240105018qaHZBW,1 Jan  2024,22.91,0.00,
O-567024829409727,,,Artisan Alchemy,,,Error Charges / Inaccurate,240105018qaHZBW,1 Jan  2024,-14.49,0.00,
O-567024829409727,,,Artisan Alchemy,,,Adjustment,240119178qaHZBW,17 Jan  2024,14.49,0.00,
O-501624802342475,,,Blissful Buffet,,,Delivery,24010501XwqkMFF,1 Jan  2024,17.19,0.00,
O-501624802342475,,,Blissful Buffet,,,Error Charges / Canceled,24010501XwqkMFF,1 Jan  2024,-17.19,0.00,
O-416424872052926,,,Blissful Buffet,,,Delivery,24011210XwqkMFF,10 Jan  2024,10.07,0.00,
O-416424872052926,,,Blissful Buffet,,,Error Charges / Canceled,24011210XwqkMFF,10 Jan  2024,-10.07,0.00,
O-416424872052926,,,Blissful Buffet,,,Adjustment, , ,9.78,0.00,
O-388924977924113,,,Blissful Buffet,,,Delivery,24011917XwqkMFF,17 Jan  2024,18.27,0.00,
O-388924977924113,,,Blissful Buffet,,,Error Charges / Inaccurate,24011917XwqkMFF,17 Jan  2024,-0.64,0.00,
O-319624784512174,,,Artisan Alchemy,,,Delivery,240105018qaHZBW,1 Jan  2024,23.81,0.00,
O-319624784512174,,,Artisan Alchemy,,,Error Charges / Canceled,240105018qaHZBW,1 Jan  2024,-23.81,0.00,
O-300324698662289,,,Blissful Buffet,,,Delivery,23122220XwqkMFF,20 Dec  2023,20.75,0.00,
O-300324698662289,,,Blissful Buffet,,,Error Charges / Inaccurate,23122220XwqkMFF,20 Dec  2023,-18.06,0.00,
O-300324698662289,,,Blissful Buffet,,,Adjustment,24011210XwqkMFF,10 Jan  2024,16.69,0.00,
